2026-07-14 11:49:19,531 [INFO] tokens per iteration will be: 8,192
2026-07-14 11:49:19,531 [INFO] run directory: out/tinystories_flashatt4_ctx256_bs32_20260714_114919
2026-07-14 11:49:19,531 [INFO] Initializing new model with block_size=256
2026-07-14 11:49:20,908 [INFO] model has 123.59M parameters
2026-07-14 11:49:20,910 [INFO] compiling the model...
2026-07-14 11:49:20,911 [INFO] compile time 0.00s
2026-07-14 11:49:26,466 [INFO] step 0: val loss 10.9909
2026-07-14 11:50:01,303 [INFO] iter 100: loss 3.9316, time 4938.83ms, mfu 9.98%, tok/s 1,659
2026-07-14 11:50:01,484 [INFO] iter 101: loss 3.8234, time 180.82ms, mfu 10.10%, tok/s 45,304
2026-07-14 11:50:01,668 [INFO] iter 102: loss 3.8807, time 183.03ms, mfu 10.20%, tok/s 44,757
2026-07-14 11:50:01,851 [INFO] iter 103: loss 3.7836, time 183.55ms, mfu 10.28%, tok/s 44,630
2026-07-14 11:50:02,034 [INFO] iter 104: loss 3.7462, time 183.03ms, mfu 10.35%, tok/s 44,757
2026-07-14 11:50:02,215 [INFO] iter 105: loss 3.7947, time 181.79ms, mfu 10.43%, tok/s 45,063
2026-07-14 11:50:02,398 [INFO] iter 106: loss 3.7502, time 182.30ms, mfu 10.50%, tok/s 44,936
2026-07-14 11:50:02,581 [INFO] iter 107: loss 3.7090, time 182.76ms, mfu 10.55%, tok/s 44,824
2026-07-14 11:50:02,763 [INFO] iter 108: loss 3.8295, time 182.69ms, mfu 10.60%, tok/s 44,841
2026-07-14 11:50:02,944 [INFO] iter 109: loss 3.8121, time 180.72ms, mfu 10.66%, tok/s 45,331
2026-07-14 11:50:03,124 [INFO] iter 110: loss 3.8283, time 180.03ms, mfu 10.72%, tok/s 45,503
2026-07-14 11:50:03,308 [INFO] iter 111: loss 3.7113, time 183.67ms, mfu 10.75%, tok/s 44,603
2026-07-14 11:50:03,490 [INFO] iter 112: loss 3.7329, time 182.31ms, mfu 10.78%, tok/s 44,935
2026-07-14 11:50:03,672 [INFO] iter 113: loss 3.9609, time 182.16ms, mfu 10.81%, tok/s 44,972
2026-07-14 11:50:03,853 [INFO] iter 114: loss 3.8499, time 180.95ms, mfu 10.85%, tok/s 45,271
2026-07-14 11:50:04,036 [INFO] iter 115: loss 3.7374, time 182.50ms, mfu 10.87%, tok/s 44,888
2026-07-14 11:50:04,219 [INFO] iter 116: loss 3.7517, time 183.48ms, mfu 10.89%, tok/s 44,648
2026-07-14 11:50:04,401 [INFO] iter 117: loss 3.8339, time 182.17ms, mfu 10.91%, tok/s 44,970
