2026-07-12 16:41:55,612 [INFO] tokens per iteration will be: 491,520
2026-07-12 16:41:55,612 [INFO] Initializing a new model from scratch
2026-07-12 16:41:55,612 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-12 16:41:57,169 [INFO] model has 123.59M parameters
2026-07-12 16:41:57,617 [INFO] compiling the model... (takes a ~minute)
2026-07-12 16:42:28,702 [INFO] step 0: train loss 10.9658, val loss 10.9655, gpu_util n/a%, mem_allocated 0.53GB
2026-07-12 16:52:46,211 [INFO] iter 63: loss 7.3490, time 9631.72ms, mfu 13.98%, tok/s 51,031
2026-07-12 16:52:55,850 [INFO] iter 64: loss 7.2374, time 9640.92ms, mfu 13.98%, tok/s 50,983
2026-07-12 16:53:05,484 [INFO] iter 65: loss 7.2025, time 9635.95ms, mfu 13.98%, tok/s 51,009
2026-07-12 16:53:15,122 [INFO] iter 66: loss 7.1963, time 9633.32ms, mfu 13.98%, tok/s 51,023
2026-07-12 16:53:24,752 [INFO] iter 67: loss 7.2182, time 9633.40ms, mfu 13.98%, tok/s 51,022
2026-07-12 16:53:34,399 [INFO] iter 68: loss 7.1223, time 9645.04ms, mfu 13.98%, tok/s 50,961
2026-07-12 16:53:44,024 [INFO] iter 69: loss 7.1642, time 9624.81ms, mfu 13.98%, tok/s 51,068
2026-07-12 16:53:53,661 [INFO] iter 70: loss 7.0379, time 9636.94ms, mfu 13.98%, tok/s 51,004
2026-07-12 16:54:03,303 [INFO] iter 71: loss 6.9155, time 9641.78ms, mfu 13.98%, tok/s 50,978
2026-07-12 16:54:12,939 [INFO] iter 72: loss 6.9777, time 9640.32ms, mfu 13.98%, tok/s 50,986
2026-07-12 16:54:22,563 [INFO] iter 73: loss 6.9209, time 9620.53ms, mfu 13.98%, tok/s 51,091
2026-07-12 16:54:32,190 [INFO] iter 74: loss 6.8861, time 9629.99ms, mfu 13.98%, tok/s 51,041
2026-07-12 16:54:41,829 [INFO] iter 75: loss 6.9388, time 9638.76ms, mfu 13.98%, tok/s 50,994
2026-07-12 16:54:51,458 [INFO] iter 76: loss 6.9688, time 9626.21ms, mfu 13.98%, tok/s 51,061
2026-07-12 16:55:01,091 [INFO] iter 77: loss 6.8984, time 9631.43ms, mfu 13.98%, tok/s 51,033
2026-07-12 16:55:10,725 [INFO] iter 78: loss 6.8839, time 9635.55ms, mfu 13.98%, tok/s 51,011
2026-07-12 16:55:20,354 [INFO] iter 79: loss 6.7883, time 9630.67ms, mfu 13.98%, tok/s 51,037
2026-07-12 16:55:30,001 [INFO] iter 80: loss 6.8700, time 9646.75ms, mfu 13.98%, tok/s 50,952
2026-07-12 16:55:39,629 [INFO] iter 81: loss 6.7806, time 9631.31ms, mfu 13.98%, tok/s 51,034
2026-07-12 16:55:49,254 [INFO] iter 82: loss 6.7366, time 9622.12ms, mfu 13.98%, tok/s 51,082
2026-07-12 16:55:58,882 [INFO] iter 83: loss 6.5894, time 9627.56ms, mfu 13.98%, tok/s 51,053
2026-07-12 16:56:08,522 [INFO] iter 84: loss 6.6955, time 9637.46ms, mfu 13.98%, tok/s 51,001
2026-07-12 16:56:18,150 [INFO] iter 85: loss 6.5923, time 9630.57ms, mfu 13.98%, tok/s 51,037
2026-07-12 16:56:27,787 [INFO] iter 86: loss 6.5816, time 9637.36ms, mfu 13.98%, tok/s 51,002
2026-07-12 16:56:37,425 [INFO] iter 87: loss 6.6186, time 9637.06ms, mfu 13.98%, tok/s 51,003
2026-07-12 16:56:47,074 [INFO] iter 88: loss 6.5099, time 9647.38ms, mfu 13.98%, tok/s 50,949
2026-07-12 16:56:56,704 [INFO] iter 89: loss 6.5117, time 9631.70ms, mfu 13.98%, tok/s 51,032
2026-07-12 16:57:06,327 [INFO] iter 90: loss 6.4889, time 9624.74ms, mfu 13.98%, tok/s 51,068
2026-07-12 16:57:15,960 [INFO] iter 91: loss 6.4894, time 9632.27ms, mfu 13.98%, tok/s 51,028
2026-07-12 16:57:25,602 [INFO] iter 92: loss 6.4959, time 9641.18ms, mfu 13.98%, tok/s 50,981
2026-07-12 16:57:35,233 [INFO] iter 93: loss 6.3046, time 9630.49ms, mfu 13.98%, tok/s 51,038
2026-07-12 16:57:44,845 [INFO] iter 94: loss 6.3119, time 9613.02ms, mfu 13.98%, tok/s 51,131
2026-07-12 16:57:54,463 [INFO] iter 95: loss 6.3543, time 9616.36ms, mfu 13.98%, tok/s 51,113
2026-07-12 16:58:04,097 [INFO] iter 96: loss 6.2940, time 9631.73ms, mfu 13.98%, tok/s 51,031
