2026-07-13 21:27:39,512 [INFO] tokens per iteration will be: 65,536
2026-07-13 21:27:39,512 [INFO] Initializing a new model from scratch
2026-07-13 21:27:39,512 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-13 21:27:41,071 [INFO] model has 123.59M parameters
2026-07-13 21:27:41,524 [INFO] compiling the model... (takes a ~minute)
2026-07-13 21:29:30,823 [INFO] iter 65: loss 6.7252, time 1265.91ms, mfu 13.03%, tok/s 51,770
2026-07-13 21:29:32,086 [INFO] iter 66: loss 6.6793, time 1261.97ms, mfu 13.06%, tok/s 51,931
2026-07-13 21:29:33,348 [INFO] iter 67: loss 6.5843, time 1264.72ms, mfu 13.08%, tok/s 51,819
2026-07-13 21:29:34,611 [INFO] iter 68: loss 6.6659, time 1259.11ms, mfu 13.10%, tok/s 52,049
2026-07-13 21:29:35,874 [INFO] iter 69: loss 6.6014, time 1265.97ms, mfu 13.12%, tok/s 51,767
2026-07-13 21:29:37,133 [INFO] iter 70: loss 6.6069, time 1262.31ms, mfu 13.13%, tok/s 51,917
2026-07-13 21:29:38,397 [INFO] iter 71: loss 6.6496, time 1259.63ms, mfu 13.15%, tok/s 52,028
2026-07-13 21:29:39,657 [INFO] iter 72: loss 6.6059, time 1263.43ms, mfu 13.16%, tok/s 51,871
2026-07-13 21:29:40,913 [INFO] iter 73: loss 6.5705, time 1260.56ms, mfu 13.18%, tok/s 51,990
2026-07-13 21:29:42,173 [INFO] iter 74: loss 6.6347, time 1255.08ms, mfu 13.19%, tok/s 52,217
2026-07-13 21:29:43,440 [INFO] iter 75: loss 6.5782, time 1260.19ms, mfu 13.21%, tok/s 52,005
2026-07-13 21:29:44,704 [INFO] iter 76: loss 6.5995, time 1267.46ms, mfu 13.21%, tok/s 51,707
2026-07-13 21:29:45,967 [INFO] iter 77: loss 6.4927, time 1264.92ms, mfu 13.21%, tok/s 51,810
2026-07-13 21:29:47,226 [INFO] iter 78: loss 6.4694, time 1261.64ms, mfu 13.22%, tok/s 51,945
2026-07-13 21:29:48,495 [INFO] iter 79: loss 6.4187, time 1260.47ms, mfu 13.23%, tok/s 51,993
2026-07-13 21:29:49,755 [INFO] iter 80: loss 6.4776, time 1267.85ms, mfu 13.23%, tok/s 51,691
2026-07-13 21:29:51,019 [INFO] iter 81: loss 6.4502, time 1260.32ms, mfu 13.24%, tok/s 52,000
2026-07-13 21:29:52,283 [INFO] iter 82: loss 6.4860, time 1263.76ms, mfu 13.24%, tok/s 51,858
2026-07-13 21:29:53,551 [INFO] iter 83: loss 6.4214, time 1264.21ms, mfu 13.24%, tok/s 51,839
2026-07-13 21:29:54,813 [INFO] iter 84: loss 6.4478, time 1268.38ms, mfu 13.24%, tok/s 51,669
2026-07-13 21:29:56,075 [INFO] iter 85: loss 6.4099, time 1260.34ms, mfu 13.24%, tok/s 51,999
2026-07-13 21:29:57,338 [INFO] iter 86: loss 6.4648, time 1263.00ms, mfu 13.25%, tok/s 51,889
2026-07-13 21:29:58,603 [INFO] iter 87: loss 6.3579, time 1262.30ms, mfu 13.25%, tok/s 51,918
2026-07-13 21:29:59,864 [INFO] iter 88: loss 6.3574, time 1265.30ms, mfu 13.25%, tok/s 51,795
2026-07-13 21:30:01,121 [INFO] iter 89: loss 6.4021, time 1260.16ms, mfu 13.26%, tok/s 52,006
2026-07-13 21:30:02,386 [INFO] iter 90: loss 6.3382, time 1258.11ms, mfu 13.26%, tok/s 52,091
2026-07-13 21:30:03,649 [INFO] iter 91: loss 6.3528, time 1261.72ms, mfu 13.27%, tok/s 51,942
2026-07-13 21:30:04,911 [INFO] iter 92: loss 6.2972, time 1266.63ms, mfu 13.26%, tok/s 51,740
2026-07-13 21:30:06,172 [INFO] iter 93: loss 6.3610, time 1258.86ms, mfu 13.27%, tok/s 52,060
2026-07-13 21:30:07,437 [INFO] iter 94: loss 6.3487, time 1262.13ms, mfu 13.27%, tok/s 51,925
2026-07-13 21:30:08,697 [INFO] iter 95: loss 6.2850, time 1266.14ms, mfu 13.27%, tok/s 51,760
2026-07-13 21:30:09,959 [INFO] iter 96: loss 6.2290, time 1260.60ms, mfu 13.27%, tok/s 51,988
2026-07-13 21:30:11,218 [INFO] iter 97: loss 6.3111, time 1259.89ms, mfu 13.27%, tok/s 52,017
2026-07-13 21:30:12,481 [INFO] iter 98: loss 6.1905, time 1261.73ms, mfu 13.28%, tok/s 51,941
2026-07-13 21:30:13,742 [INFO] iter 99: loss 6.2133, time 1262.35ms, mfu 13.28%, tok/s 51,916
2026-07-13 21:30:19,474 [INFO] step 100: val loss 6.2291, gpu_util n/a%, mem_allocated 4.86GB
2026-07-13 21:30:19,474 [INFO] saving checkpoint to out
2026-07-13 21:30:22,996 [INFO] iter 100: loss 6.3250, time 9257.58ms, mfu 12.13%, tok/s 7,079
2026-07-13 21:30:24,254 [INFO] iter 101: loss 6.2229, time 1258.89ms, mfu 12.25%, tok/s 52,059
